# Minecraft Java Edition — Source of Truth Block IDs
# Generated: 2026-03-31
# Total entries: 1135
# Sources: Minecraft Wiki Block IDs table + minecraftitemids.com (cross-referenced)
#
# Format: block_id | Block Name | Item Form Status
# Item Form Status:
#   Identical     = Block and item share the same ID
#   Different:X   = Block has item form with a different ID (X)
#   Alternate:X   = Alternate placement of block X (wall variant, etc.)
#   Indirect:X    = No direct item form, but Pick Block gives X
#   No item form  = Block has no item form at all

Block ID                                        | Block Name                                | Item Form
bamboo_sign                                     | Bamboo Sign                               | Identical
bamboo_slab                                     | Bamboo Slab                               | Identical
bamboo_stairs                                   | Bamboo Stairs                             | Identical
bamboo_trapdoor                                 | Bamboo Trapdoor                           | Identical
bamboo_wall_hanging_sign                        | Bamboo Wall Hanging Sign                  | Alternate: bamboo_hanging_sign
bamboo_wall_sign                                | Bamboo Wall Sign                          | Alternate: bamboo_sign
banner_pattern                                  | Banner Pattern                            | Identical
barrel                                          | Barrel                                    | Identical
barrier                                         | Barrier                                   | Identical
basalt                                          | Basalt                                    | Identical
bat_spawner                                     | Bat Spawner                               | Identical
beacon                                          | Beacon                                    | Identical
bedrock                                         | Bedrock                                   | Identical
bee_nest                                        | Bee Nest                                  | Identical
beehive                                         | Beehive                                   | Identical
beetroots                                       | Beetroots                                 | Different: beetroot_seeds
bell                                            | Bell                                      | Identical
big_dripleaf                                    | Big Dripleaf                              | Identical
big_dripleaf_stem                               | Big Dripleaf Stem                         | Indirect: big_dripleaf
birch_button                                    | Birch Button                              | Identical
birch_door                                      | Birch Door                                | Identical
birch_fence                                     | Birch Fence                               | Identical
birch_fence_gate                                | Birch Fence Gate                          | Identical
birch_hanging_sign                              | Birch Hanging Sign                        | Identical
birch_leaves                                    | Birch Leaves                              | Identical
birch_log                                       | Birch Log                                 | Identical
birch_planks                                    | Birch Planks                              | Identical
birch_pressure_plate                            | Birch Pressure Plate                      | Identical
birch_sapling                                   | Birch Sapling                             | Identical
birch_sign                                      | Birch Sign                                | Identical
birch_slab                                      | Birch Slab                                | Identical
birch_stairs                                    | Birch Stairs                              | Identical
birch_trapdoor                                  | Birch Trapdoor                            | Identical
birch_wall_hanging_sign                         | Birch Wall Hanging Sign                   | Alternate: birch_hanging_sign
birch_wall_sign                                 | Birch Wall Sign                           | Alternate: birch_sign
birch_wood                                      | Birch Wood                                | Identical
black_banner                                    | Black Banner                              | Identical
black_bed                                       | Black Bed                                 | Identical
black_candle                                    | Black Candle                              | Identical
black_candle_cake                               | Cake with Black Candle                    | Indirect: cake
black_carpet                                    | Black Carpet                              | Identical
black_concrete                                  | Black Concrete                            | Identical
black_concrete_powder                           | Black Concrete Powder                     | Identical
black_glazed_terracotta                         | Black Glazed Terracotta                   | Identical
black_shulker_box                               | Black Shulker Box                         | Identical
black_stained_glass                             | Black Stained Glass                       | Identical
black_stained_glass_pane                        | Black Stained Glass Pane                  | Identical
black_terracotta                                | Black Terracotta                          | Identical
black_wall_banner                               | Black Wall Banner                         | Alternate: black_banner
black_wool                                      | Black Wool                                | Identical
blackstone                                      | Blackstone                                | Identical
blackstone_slab                                 | Blackstone Slab                           | Identical
blackstone_stairs                               | Blackstone Stairs                         | Identical
blackstone_wall                                 | Blackstone Wall                           | Identical
blast_furnace                                   | Blast Furnace                             | Identical
blaze_spawner                                   | Blaze Spawner                             | Identical
block_of_amethyst                               | Block Of Amethyst                         | Identical
block_of_coal                                   | Block Of Coal                             | Identical
block_of_copper                                 | Block Of Copper                           | Identical
block_of_diamond                                | Block Of Diamond                          | Identical
block_of_emerald                                | Block Of Emerald                          | Identical
block_of_gold                                   | Block Of Gold                             | Identical
block_of_iron                                   | Block Of Iron                             | Identical
block_of_netherite                              | Block Of Netherite                        | Identical
block_of_quartz                                 | Block Of Quartz                           | Identical
block_of_raw_copper                             | Block Of Raw Copper                       | Identical
block_of_raw_gold                               | Block Of Raw Gold                         | Identical
block_of_raw_iron                               | Block Of Raw Iron                         | Identical
block_of_redstone                               | Block Of Redstone                         | Identical
blue_banner                                     | Blue Banner                               | Identical
blue_bed                                        | Blue Bed                                  | Identical
blue_candle                                     | Blue Candle                               | Identical
blue_candle_cake                                | Cake with Blue Candle                     | Indirect: cake
blue_carpet                                     | Blue Carpet                               | Identical
blue_concrete                                   | Blue Concrete                             | Identical
blue_concrete_powder                            | Blue Concrete Powder                      | Identical
blue_glazed_terracotta                          | Blue Glazed Terracotta                    | Identical
blue_ice                                        | Blue Ice                                  | Identical
blue_orchid                                     | Blue Orchid                               | Identical
blue_shulker_box                                | Blue Shulker Box                          | Identical
blue_stained_glass                              | Blue Stained Glass                        | Identical
blue_stained_glass_pane                         | Blue Stained Glass Pane                   | Identical
blue_terracotta                                 | Blue Terracotta                           | Identical
blue_wall_banner                                | Blue Wall Banner                          | Alternate: blue_banner
blue_wool                                       | Blue Wool                                 | Identical
bone_block                                      | Bone Block                                | Identical
book_and_quill                                  | Book And Quill                            | Identical
bookshelf                                       | Bookshelf                                 | Identical
bottle_o_enchanting                             | Bottle O Enchanting                       | Identical
bowl                                            | Bowl                                      | Identical
brain_coral                                     | Brain Coral                               | Identical
brain_coral_block                               | Brain Coral Block                         | Identical
brain_coral_fan                                 | Brain Coral Fan                           | Identical
brain_coral_wall_fan                            | Brain Coral Wall Fan                      | Alternate: brain_coral_fan
brewing_stand                                   | Brewing Stand                             | Identical
brick                                           | Brick                                     | Identical
brick_slab                                      | Brick Slab                                | Identical
brick_stairs                                    | Brick Stairs                              | Identical
brick_wall                                      | Brick Wall                                | Identical
bricks                                          | Bricks                                    | Identical
broken_elytra                                   | Broken Elytra                             | Identical
brown_banner                                    | Brown Banner                              | Identical
brown_bed                                       | Brown Bed                                 | Identical
brown_candle                                    | Brown Candle                              | Identical
brown_candle_cake                               | Cake with Brown Candle                    | Indirect: cake
brown_carpet                                    | Brown Carpet                              | Identical
brown_concrete                                  | Brown Concrete                            | Identical
brown_concrete_powder                           | Brown Concrete Powder                     | Identical
brown_glazed_terracotta                         | Brown Glazed Terracotta                   | Identical
brown_mushroom                                  | Brown Mushroom                            | Identical
brown_mushroom_block                            | Brown Mushroom Block                      | Identical
brown_shulker_box                               | Brown Shulker Box                         | Identical
brown_stained_glass                             | Brown Stained Glass                       | Identical
brown_stained_glass_pane                        | Brown Stained Glass Pane                  | Identical
brown_terracotta                                | Brown Terracotta                          | Identical
brown_wall_banner                               | Brown Wall Banner                         | Alternate: brown_banner
brown_wool                                      | Brown Wool                                | Identical
bubble_column                                   | Bubble Column                             | No item form
bubble_coral                                    | Bubble Coral                              | Identical
bubble_coral_block                              | Bubble Coral Block                        | Identical
bubble_coral_fan                                | Bubble Coral Fan                          | Identical
bubble_coral_wall_fan                           | Bubble Coral Wall Fan                     | Alternate: bubble_coral_fan
bucket                                          | Bucket                                    | Identical
bucket_of_axolotl                               | Bucket Of Axolotl                         | Identical
bucket_of_cod                                   | Bucket Of Cod                             | Identical
bucket_of_pufferfish                            | Bucket Of Pufferfish                      | Identical
bucket_of_salmon                                | Bucket Of Salmon                          | Identical
bucket_of_tropical_fish                         | Bucket Of Tropical Fish                   | Identical
budding_amethyst                                | Budding Amethyst                          | Identical
cactus                                          | Cactus                                    | Identical
cactus_green                                    | Cactus Green                              | Identical
cake                                            | Cake                                      | Identical
calcite                                         | Calcite                                   | Identical
calibrated_sculk_sensor                         | Calibrated Sculk Sensor                   | Identical
campfire                                        | Campfire                                  | Identical
candle                                          | Candle                                    | Identical
candle_cake                                     | Cake with Candle                          | Indirect: cake
carrots                                         | Carrots                                   | Different: carrot
cartography_table                               | Cartography Table                         | Identical
carved_pumpkin                                  | Carved Pumpkin                            | Identical
cauldron                                        | Cauldron                                  | Identical
cave_air                                        | Cave Air                                  | No item form
cave_spider_spawner                             | Cave Spider Spawner                       | Identical
cave_vines                                      | Cave Vines                                | Different: glow_berries
cave_vines_plant                                | Cave Vines Plant                          | Indirect: glow_berries
chain                                           | Chain                                     | Identical
chain_command_block                             | Chain Command Block                       | Identical
cherry_button                                   | Cherry Button                             | Identical
cherry_door                                     | Cherry Door                               | Identical
cherry_fence                                    | Cherry Fence                              | Identical
cherry_fence_gate                               | Cherry Fence Gate                         | Identical
cherry_hanging_sign                             | Cherry Hanging Sign                       | Identical
cherry_leaves                                   | Cherry Leaves                             | Identical
cherry_log                                      | Cherry Log                                | Identical
cherry_planks                                   | Cherry Planks                             | Identical
cherry_pressure_plate                           | Cherry Pressure Plate                     | Identical
cherry_sapling                                  | Cherry Sapling                            | Identical
cherry_sign                                     | Cherry Sign                               | Identical
cherry_slab                                     | Cherry Slab                               | Identical
cherry_stairs                                   | Cherry Stairs                             | Identical
cherry_trapdoor                                 | Cherry Trapdoor                           | Identical
cherry_wall_hanging_sign                        | Cherry Wall Hanging Sign                  | Alternate: cherry_hanging_sign
cherry_wall_sign                                | Cherry Wall Sign                          | Alternate: cherry_sign
cherry_wood                                     | Cherry Wood                               | Identical
chest                                           | Chest                                     | Identical
chicken_spawner                                 | Chicken Spawner                           | Identical
chipped_anvil                                   | Chipped Anvil                             | Identical
chiseled_bookshelf                              | Chiseled Bookshelf                        | Identical
chiseled_deepslate                              | Chiseled Deepslate                        | Identical
chiseled_nether_bricks                          | Chiseled Nether Bricks                    | Identical
chiseled_polished_blackstone                    | Chiseled Polished Blackstone              | Identical
chiseled_quartz_block                           | Chiseled Quartz Block                     | Identical
chiseled_red_sandstone                          | Chiseled Red Sandstone                    | Identical
chiseled_sandstone                              | Chiseled Sandstone                        | Identical
chiseled_stone_bricks                           | Chiseled Stone Bricks                     | Identical
chiseled_tuff                                   | Chiseled Tuff                             | Identical
chiseled_tuff_bricks                            | Chiseled Tuff Bricks                      | Identical
chorus_flower                                   | Chorus Flower                             | Identical
chorus_plant                                    | Chorus Plant                              | Identical
clay                                            | Clay                                      | Identical
coal_block                                      | Block of Coal                             | Identical
coal_ore                                        | Coal Ore                                  | Identical
coarse_dirt                                     | Coarse Dirt                               | Identical
cobbled_deepslate                               | Cobbled Deepslate                         | Identical
cobbled_deepslate_slab                          | Cobbled Deepslate Slab                    | Identical
cobbled_deepslate_stairs                        | Cobbled Deepslate Stairs                  | Identical
cobbled_deepslate_wall                          | Cobbled Deepslate Wall                    | Identical
cobblestone                                     | Cobblestone                               | Identical
cobblestone_slab                                | Cobblestone Slab                          | Identical
cobblestone_stairs                              | Cobblestone Stairs                        | Identical
cobblestone_wall                                | Cobblestone Wall                          | Identical
cobweb                                          | Cobweb                                    | Identical
cocoa                                           | Cocoa                                     | Different: cocoa_beans
command_block                                   | Command Block                             | Identical
comparator                                      | Redstone Comparator                       | Identical
composter                                       | Composter                                 | Identical
conduit                                         | Conduit                                   | Identical
copper_block                                    | Block of Copper                           | Identical
copper_ore                                      | Copper Ore                                | Identical
cornflower                                      | Cornflower                                | Identical
cow_spawner                                     | Cow Spawner                               | Identical
cracked_deepslate_bricks                        | Cracked Deepslate Bricks                  | Identical
cracked_deepslate_tiles                         | Cracked Deepslate Tiles                   | Identical
cracked_nether_bricks                           | Cracked Nether Bricks                     | Identical
cracked_polished_blackstone_bricks              | Cracked Polished Blackstone Bricks        | Identical
cracked_stone_bricks                            | Cracked Stone Bricks                      | Identical
crafting_table                                  | Crafting Table                            | Identical
creeper_head                                    | Creeper Head                              | Identical
creeper_spawner                                 | Creeper Spawner                           | Identical
creeper_wall_head                               | Creeper Wall Head                         | Alternate: creeper_head
crimson_button                                  | Crimson Button                            | Identical
crimson_door                                    | Crimson Door                              | Identical
crimson_fence                                   | Crimson Fence                             | Identical
crimson_fence_gate                              | Crimson Fence Gate                        | Identical
crimson_fungus                                  | Crimson Fungus                            | Identical
crimson_hanging_sign                            | Crimson Hanging Sign                      | Identical
crimson_hyphae                                  | Crimson Hyphae                            | Identical
crimson_nylium                                  | Crimson Nylium                            | Identical
crimson_planks                                  | Crimson Planks                            | Identical
crimson_pressure_plate                          | Crimson Pressure Plate                    | Identical
crimson_roots                                   | Crimson Roots                             | Identical
crimson_sign                                    | Crimson Sign                              | Identical
crimson_slab                                    | Crimson Slab                              | Identical
crimson_stairs                                  | Crimson Stairs                            | Identical
crimson_stem                                    | Crimson Stem                              | Identical
crimson_trapdoor                                | Crimson Trapdoor                          | Identical
crimson_wall_hanging_sign                       | Crimson Wall Hanging Sign                 | Alternate: crimson_hanging_sign
crimson_wall_sign                               | Crimson Wall Sign                         | Alternate: crimson_sign
crying_obsidian                                 | Crying Obsidian                           | Identical
cut_copper                                      | Cut Copper                                | Identical
cut_copper_slab                                 | Cut Copper Slab                           | Identical
cut_copper_stairs                               | Cut Copper Stairs                         | Identical
cut_red_sandstone                               | Cut Red Sandstone                         | Identical
cut_red_sandstone_slab                          | Cut Red Sandstone Slab                    | Identical
cut_sandstone                                   | Cut Sandstone                             | Identical
cut_sandstone_slab                              | Cut Sandstone Slab                        | Identical
cyan_banner                                     | Cyan Banner                               | Identical
cyan_bed                                        | Cyan Bed                                  | Identical
cyan_candle                                     | Cyan Candle                               | Identical
cyan_candle_cake                                | Cake with Cyan Candle                     | Indirect: cake
cyan_carpet                                     | Cyan Carpet                               | Identical
cyan_concrete                                   | Cyan Concrete                             | Identical
cyan_concrete_powder                            | Cyan Concrete Powder                      | Identical
cyan_glazed_terracotta                          | Cyan Glazed Terracotta                    | Identical
cyan_shulker_box                                | Cyan Shulker Box                          | Identical
cyan_stained_glass                              | Cyan Stained Glass                        | Identical
cyan_stained_glass_pane                         | Cyan Stained Glass Pane                   | Identical
cyan_terracotta                                 | Cyan Terracotta                           | Identical
cyan_wall_banner                                | Cyan Wall Banner                          | Alternate: cyan_banner
cyan_wool                                       | Cyan Wool                                 | Identical
damaged_anvil                                   | Damaged Anvil                             | Identical
dandelion                                       | Dandelion                                 | Identical
dandelion_yellow                                | Dandelion Yellow                          | Identical
dark_oak_button                                 | Dark Oak Button                           | Identical
dark_oak_door                                   | Dark Oak Door                             | Identical
dark_oak_fence                                  | Dark Oak Fence                            | Identical
dark_oak_fence_gate                             | Dark Oak Fence Gate                       | Identical
dark_oak_hanging_sign                           | Dark Oak Hanging Sign                     | Identical
dark_oak_leaves                                 | Dark Oak Leaves                           | Identical
dark_oak_log                                    | Dark Oak Log                              | Identical
dark_oak_planks                                 | Dark Oak Planks                           | Identical
dark_oak_pressure_plate                         | Dark Oak Pressure Plate                   | Identical
dark_oak_sapling                                | Dark Oak Sapling                          | Identical
dark_oak_sign                                   | Dark Oak Sign                             | Identical
dark_oak_slab                                   | Dark Oak Slab                             | Identical
dark_oak_stairs                                 | Dark Oak Stairs                           | Identical
dark_oak_trapdoor                               | Dark Oak Trapdoor                         | Identical
dark_oak_wall_hanging_sign                      | Dark Oak Wall Hanging Sign                | Alternate: dark_oak_hanging_sign
dark_oak_wall_sign                              | Dark Oak Wall Sign                        | Alternate: dark_oak_sign
dark_oak_wood                                   | Dark Oak Wood                             | Identical
dark_prismarine                                 | Dark Prismarine                           | Identical
dark_prismarine_slab                            | Dark Prismarine Slab                      | Identical
dark_prismarine_stairs                          | Dark Prismarine Stairs                    | Identical
daylight_detector                               | Daylight Detector                         | Identical
dead_brain_coral                                | Dead Brain Coral                          | Identical
dead_brain_coral_block                          | Dead Brain Coral Block                    | Identical
dead_brain_coral_fan                            | Dead Brain Coral Fan                      | Identical
dead_brain_coral_wall_fan                       | Dead Brain Coral Wall Fan                 | Alternate: dead_brain_coral_fan
dead_bubble_coral                               | Dead Bubble Coral                         | Identical
dead_bubble_coral_block                         | Dead Bubble Coral Block                   | Identical
dead_bubble_coral_fan                           | Dead Bubble Coral Fan                     | Identical
dead_bubble_coral_wall_fan                      | Dead Bubble Coral Wall Fan                | Alternate: dead_bubble_coral_fan
dead_bush                                       | Dead Bush                                 | Identical
dead_fire_coral                                 | Dead Fire Coral                           | Identical
dead_fire_coral_block                           | Dead Fire Coral Block                     | Identical
dead_fire_coral_fan                             | Dead Fire Coral Fan                       | Identical
dead_fire_coral_wall_fan                        | Dead Fire Coral Wall Fan                  | Alternate: dead_fire_coral_fan
dead_horn_coral                                 | Dead Horn Coral                           | Identical
dead_horn_coral_block                           | Dead Horn Coral Block                     | Identical
dead_horn_coral_fan                             | Dead Horn Coral Fan                       | Identical
dead_horn_coral_wall_fan                        | Dead Horn Coral Wall Fan                  | Alternate: dead_horn_coral_fan
dead_tube_coral                                 | Dead Tube Coral                           | Identical
dead_tube_coral_block                           | Dead Tube Coral Block                     | Identical
dead_tube_coral_fan                             | Dead Tube Coral Fan                       | Identical
dead_tube_coral_wall_fan                        | Dead Tube Coral Wall Fan                  | Alternate: dead_tube_coral_fan
deepslate                                       | Deepslate                                 | Identical
deepslate_brick_slab                            | Deepslate Brick Slab                      | Identical
deepslate_brick_stairs                          | Deepslate Brick Stairs                    | Identical
deepslate_brick_wall                            | Deepslate Brick Wall                      | Identical
deepslate_bricks                                | Deepslate Bricks                          | Identical
deepslate_coal_ore                              | Deepslate Coal Ore                        | Identical
deepslate_copper_ore                            | Deepslate Copper Ore                      | Identical
deepslate_diamond_ore                           | Deepslate Diamond Ore                     | Identical
deepslate_emerald_ore                           | Deepslate Emerald Ore                     | Identical
deepslate_gold_ore                              | Deepslate Gold Ore                        | Identical
deepslate_iron_ore                              | Deepslate Iron Ore                        | Identical
deepslate_lapis_lazuli_ore                      | Deepslate Lapis Lazuli Ore                | Identical
deepslate_lapis_ore                             | Deepslate Lapis Lazuli Ore                | Identical
deepslate_redstone_ore                          | Deepslate Redstone Ore                    | Identical
deepslate_tile_slab                             | Deepslate Tile Slab                       | Identical
deepslate_tile_stairs                           | Deepslate Tile Stairs                     | Identical
deepslate_tile_wall                             | Deepslate Tile Wall                       | Identical
deepslate_tiles                                 | Deepslate Tiles                           | Identical
detector_rail                                   | Detector Rail                             | Identical
diamond_block                                   | Block of Diamond                          | Identical
diamond_ore                                     | Diamond Ore                               | Identical
diorite                                         | Diorite                                   | Identical
diorite_slab                                    | Diorite Slab                              | Identical
diorite_stairs                                  | Diorite Stairs                            | Identical
diorite_wall                                    | Diorite Wall                              | Identical
dirt                                            | Dirt                                      | Identical
dirt_path                                       | Dirt Path                                 | Identical
dispenser                                       | Dispenser                                 | Identical
dragon_egg                                      | Dragon Egg                                | Identical
dragon_head                                     | Dragon Head                               | Identical
dragon_wall_head                                | Dragon Wall Head                          | Alternate: dragon_head
dragons_breath                                  | Dragons Breath                            | Identical
dried_kelp                                      | Dried Kelp                                | Identical
dried_kelp_block                                | Dried Kelp Block                          | Identical
dripstone_block                                 | Dripstone Block                           | Identical
dropper                                         | Dropper                                   | Identical
emerald_block                                   | Block of Emerald                          | Identical
emerald_ore                                     | Emerald Ore                               | Identical
empty_map                                       | Empty Map                                 | Identical
enchanted_book                                  | Enchanted Book                            | Identical
enchanting_table                                | Enchanting Table                          | Identical
end_crystal                                     | End Crystal                               | Identical
end_gateway                                     | End Gateway                               | No item form
end_portal                                      | End Portal                                | No item form
end_portal_frame                                | End Portal Frame                          | Identical
end_rod                                         | End Rod                                   | Identical
end_stone                                       | End Stone                                 | Identical
end_stone_brick_slab                            | End Stone Brick Slab                      | Identical
end_stone_brick_stairs                          | End Stone Brick Stairs                    | Identical
end_stone_brick_wall                            | End Stone Brick Wall                      | Identical
end_stone_bricks                                | End Stone Bricks                          | Identical
ender_chest                                     | Ender Chest                               | Identical
ender_dragon_spawner                            | Ender Dragon Spawner                      | Identical
enderman_spawner                                | Enderman Spawner                          | Identical
exposed_copper                                  | Exposed Copper                            | Identical
exposed_cut_copper                              | Exposed Cut Copper                        | Identical
exposed_cut_copper_slab                         | Exposed Cut Copper Slab                   | Identical
exposed_cut_copper_stairs                       | Exposed Cut Copper Stairs                 | Identical
eye_of_ender                                    | Eye Of Ender                              | Identical
farmland                                        | Farmland                                  | Identical
fern                                            | Fern                                      | Identical
filled_bundle                                   | Filled Bundle                             | Identical
fire                                            | Fire                                      | No item form
fire_coral                                      | Fire Coral                                | Identical
fire_coral_block                                | Fire Coral Block                          | Identical
fire_coral_fan                                  | Fire Coral Fan                            | Identical
fire_coral_wall_fan                             | Fire Coral Wall Fan                       | Alternate: fire_coral_fan
firework_loaded_crossbow                        | Firework Loaded Crossbow                  | Identical
firework_rocket                                 | Firework Rocket                           | Identical
firework_star                                   | Firework Star                             | Identical
fletching_table                                 | Fletching Table                           | Identical
flower_pot                                      | Flower Pot                                | Identical
flowering_azalea                                | Flowering Azalea                          | Identical
flowering_azalea_leaves                         | Flowering Azalea Leaves                   | Identical
frogspawn                                       | Frogspawn                                 | Identical
frosted_ice                                     | Frosted Ice                               | No item form
furnace                                         | Furnace                                   | Identical
ghast_spawner                                   | Ghast Spawner                             | Identical
giant_spawner                                   | Giant Spawner                             | Identical
gilded_blackstone                               | Gilded Blackstone                         | Identical
glass                                           | Glass                                     | Identical
glass_bottle                                    | Glass Bottle                              | Identical
glass_pane                                      | Glass Pane                                | Identical
glistering_melon_slice                          | Glistering Melon Slice                    | Identical
glow_lichen                                     | Glow Lichen                               | Identical
glowstone                                       | Glowstone                                 | Identical
gold_block                                      | Block of Gold                             | Identical
gold_nugget                                     | Gold Nugget                               | Identical
gold_ore                                        | Gold Ore                                  | Identical
golden_carrot                                   | Golden Carrot                             | Identical
granite                                         | Granite                                   | Identical
granite_slab                                    | Granite Slab                              | Identical
granite_stairs                                  | Granite Stairs                            | Identical
granite_wall                                    | Granite Wall                              | Identical
grass                                           | Grass                                     | Identical
grass_block                                     | Grass Block                               | Identical
grass_path                                      | Grass Path                                | Identical
gravel                                          | Gravel                                    | Identical
gray_banner                                     | Gray Banner                               | Identical
gray_bed                                        | Gray Bed                                  | Identical
gray_candle                                     | Gray Candle                               | Identical
gray_candle_cake                                | Cake with Gray Candle                     | Indirect: cake
gray_carpet                                     | Gray Carpet                               | Identical
gray_concrete                                   | Gray Concrete                             | Identical
gray_concrete_powder                            | Gray Concrete Powder                      | Identical
gray_glazed_terracotta                          | Gray Glazed Terracotta                    | Identical
gray_shulker_box                                | Gray Shulker Box                          | Identical
gray_stained_glass                              | Gray Stained Glass                        | Identical
gray_stained_glass_pane                         | Gray Stained Glass Pane                   | Identical
gray_terracotta                                 | Gray Terracotta                           | Identical
gray_wall_banner                                | Gray Wall Banner                          | Alternate: gray_banner
gray_wool                                       | Gray Wool                                 | Identical
green_banner                                    | Green Banner                              | Identical
green_bed                                       | Green Bed                                 | Identical
green_candle                                    | Green Candle                              | Identical
green_candle_cake                               | Cake with Green Candle                    | Indirect: cake
green_carpet                                    | Green Carpet                              | Identical
green_concrete                                  | Green Concrete                            | Identical
green_concrete_powder                           | Green Concrete Powder                     | Identical
green_glazed_terracotta                         | Green Glazed Terracotta                   | Identical
green_shulker_box                               | Green Shulker Box                         | Identical
green_stained_glass                             | Green Stained Glass                       | Identical
green_stained_glass_pane                        | Green Stained Glass Pane                  | Identical
green_terracotta                                | Green Terracotta                          | Identical
green_wall_banner                               | Green Wall Banner                         | Alternate: green_banner
green_wool                                      | Green Wool                                | Identical
grindstone                                      | Grindstone                                | Identical
hanging_roots                                   | Hanging Roots                             | Identical
hay_bale                                        | Hay Bale                                  | Identical
hay_block                                       | Hay Bale                                  | Identical
heart_of_the_sea                                | Heart Of The Sea                          | Identical
heavy_weighted_pressure_plate                   | Heavy Weighted Pressure Plate             | Identical
honey_block                                     | Honey Block                               | Identical
honeycomb_block                                 | Honeycomb Block                           | Identical
hopper                                          | Hopper                                    | Identical
horn_coral                                      | Horn Coral                                | Identical
horn_coral_block                                | Horn Coral Block                          | Identical
horn_coral_fan                                  | Horn Coral Fan                            | Identical
horn_coral_wall_fan                             | Horn Coral Wall Fan                       | Alternate: horn_coral_fan
horse_spawner                                   | Horse Spawner                             | Identical
ice                                             | Ice                                       | Identical
infested_chiseled_stone_bricks                  | Infested Chiseled Stone Bricks            | Identical
infested_cobblestone                            | Infested Cobblestone                      | Identical
infested_cracked_stone_bricks                   | Infested Cracked Stone Bricks             | Identical
infested_deepslate                              | Infested Deepslate                        | Identical
infested_mossy_stone_bricks                     | Infested Mossy Stone Bricks               | Identical
infested_stone                                  | Infested Stone                            | Identical
infested_stone_bricks                           | Infested Stone Bricks                     | Identical
iron_bars                                       | Iron Bars                                 | Identical
iron_block                                      | Block of Iron                             | Identical
iron_door                                       | Iron Door                                 | Identical
iron_golem_spawner                              | Iron Golem Spawner                        | Identical
iron_nugget                                     | Iron Nugget                               | Identical
iron_ore                                        | Iron Ore                                  | Identical
iron_trapdoor                                   | Iron Trapdoor                             | Identical
jack_o_lantern                                  | Jack o'Lantern                            | Identical
jigsaw                                          | Jigsaw Block                              | Identical
